t_s,l_shoulder_pitch_rad,l_shoulder_roll_rad,l_shoulder_yaw_rad,l_elbow_rad,r_shoulder_pitch_rad,r_shoulder_roll_rad,r_shoulder_yaw_rad,r_elbow_rad
4.69999,0.521407,-0.0241223,-1.14709,0.740103,-0.542566,-0.0165978,0.896015,-0.80488
4.72,0.521389,-0.0241202,-1.14705,0.740103,-0.542524,-0.0166048,0.896008,-0.804816
4.74,0.521371,-0.0241393,-1.1471,0.740093,-0.542457,-0.0165975,0.895963,-0.804753
4.75999,0.521367,-0.0241202,-1.14705,0.740076,-0.542411,-0.0166048,0.89594,-0.804751
4.78,0.52136,-0.0241182,-1.14707,0.740053,-0.542285,-0.0166176,0.89594,-0.804668
4.8,0.521343,-0.0241182,-1.14707,0.740076,-0.542098,-0.0166176,0.89594,-0.80452
4.82,0.521343,-0.0241341,-1.14707,0.740027,-0.541862,-0.0166109,0.895911,-0.804403
4.83999,0.521351,-0.0241341,-1.14707,0.740018,-0.541818,-0.0166109,0.895911,-0.804178
4.85999,0.521351,-0.0241294,-1.14704,0.740009,-0.541802,-0.0166643,0.895937,-0.804107
4.88,0.521326,-0.0241056,-1.14704,0.740009,-0.541802,-0.0166643,0.895937,-0.804049
4.89999,0.521269,-0.0241056,-1.14707,0.740009,-0.541801,-0.0165649,0.895812,-0.80396
4.92,0.521269,-0.0241094,-1.14711,0.739991,-0.541801,-0.016563,0.895698,-0.80386
4.94,0.521282,-0.0241352,-1.14707,0.739955,-0.54179,-0.0164755,0.895555,-0.803745
4.96,0.521282,-0.0241352,-1.14706,0.739955,-0.541809,-0.0163758,0.895549,-0.803588
4.98,0.52127,-0.0241022,-1.14706,0.739994,-0.54179,-0.0163622,0.895549,-0.802971
5,0.52126,-0.0241022,-1.14705,0.739994,-0.541785,-0.016324,0.895538,-0.801162
5.02,0.521247,-0.0240852,-1.14703,0.739882,-0.541785,-0.0162805,0.895521,-0.799928
5.04,0.521224,-0.0241065,-1.14703,0.739845,-0.541806,-0.0162173,0.895538,-0.798919
5.06,0.521224,-0.0240852,-1.14708,0.739833,-0.541806,-0.0161872,0.895528,-0.798484
5.07999,0.521256,-0.0241102,-1.14708,0.73983,-0.54166,-0.0161833,0.895528,-0.796905
5.1,0.521258,-0.0241102,-1.14707,0.739755,-0.54166,-0.0161668,0.895495,-0.792869
